Día,Central,Costo unitario previsto $/MWh,Capacidad promedio prevista MW,Costo unitario realizado $/MWh,Capacidad promedio realizada MW
01/01/2006,ACLP1 ,0.0,230.0,0.0,200.721
02/01/2006,ACLP1 ,0.0,230.0,0.0,195.357
03/01/2006,ACLP1 ,0.0,230.0,0.0,192.723
04/01/2006,ACLP1 ,0.0,230.0,0.0,190.471
05/01/2006,ACLP1 ,0.0,230.0,0.0,190.96
06/01/2006,ACLP1 ,0.0,230.0,0.0,192.839
07/01/2006,ACLP1 ,0.0,230.0,0.0,191.837
08/01/2006,ACLP1 ,0.0,230.0,0.0,192.318
09/01/2006,ACLP1 ,0.0,230.0,0.0,191.563
10/01/2006,ACLP1 ,0.0,230.0,0.0,190.838
11/01/2006,ACLP1 ,0.0,230.0,0.0,190.664
12/01/2006,ACLP1 ,0.0,230.0,0.0,188.247
13/01/2006,ACLP1 ,0.0,230.0,0.0,190.197
14/01/2006,ACLP1 ,0.0,230.0,0.0,190.636
15/01/2006,ACLP1 ,0.0,230.0,0.0,193.605
16/01/2006,ACLP1 ,0.0,230.0,0.0,191.363
17/01/2006,ACLP1 ,0.0,230.0,0.0,190.441
18/01/2006,ACLP1 ,0.0,230.0,0.0,190.758
19/01/2006,ACLP1 ,0.0,230.0,0.0,191.294
20/01/2006,ACLP1 ,0.0,230.0,0.0,195.469
21/01/2006,ACLP1 ,0.0,230.0,0.0,190.633
22/01/2006,ACLP1 ,0.0,230.0,0.0,192.794
23/01/2006,ACLP1 ,0.0,230.0,0.0,191.119
24/01/2006,ACLP1 ,0.0,230.0,0.0,190.161
25/01/2006,ACLP1 ,0.0,230.0,0.0,191.058
26/01/2006,ACLP1 ,0.0,230.0,0.0,188.687
27/01/2006,ACLP1 ,0.0,230.0,0.0,191.325
28/01/2006,ACLP1 ,0.0,230.0,0.0,127.315
29/01/2006,ACLP1 ,0.0,230.0,0.0,0.0
30/01/2006,ACLP1 ,0.0,230.0,0.0,171.914
31/01/2006,ACLP1 ,0.0,230.0,0.0,190.124
01/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
02/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
03/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
04/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
05/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
06/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
07/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
08/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
09/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
10/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
11/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
12/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
13/01/2006,AGEP1 ,0.0,0.1,0.0,0.096
14/01/2006,AGEP1 ,0.0,0.1,0.0,1.34
15/01/2006,AGEP1 ,0.0,0.1,0.0,1.215
16/01/2006,AGEP1 ,0.0,0.1,0.0,1.553
17/01/2006,AGEP1 ,0.0,0.1,0.0,1.611
18/01/2006,AGEP1 ,0.0,0.1,0.0,1.345
19/01/2006,AGEP1 ,0.0,0.1,0.0,1.714
20/01/2006,AGEP1 ,0.0,0.1,0.0,1.877
21/01/2006,AGEP1 ,0.0,0.1,0.0,1.654
22/01/2006,AGEP1 ,0.0,0.1,0.0,1.458
23/01/2006,AGEP1 ,0.0,0.1,0.0,1.568
24/01/2006,AGEP1 ,0.0,0.1,0.0,1.455
25/01/2006,AGEP1 ,0.0,0.1,0.0,2.27
26/01/2006,AGEP1 ,0.0,0.1,0.0,2.695
27/01/2006,AGEP1 ,0.0,0.1,0.0,2.591
28/01/2006,AGEP1 ,0.0,0.1,0.0,2.405
29/01/2006,AGEP1 ,0.0,0.1,0.0,2.71
30/01/2006,AGEP1 ,0.0,0.1,0.0,2.866
31/01/2006,AGEP1 ,0.0,0.1,0.0,2.693
01/01/2006,AGMP1 ,0.0,951.4,0.0,901.907
02/01/2006,AGMP1 ,0.0,951.4,0.0,914.653
03/01/2006,AGMP1 ,0.0,634.2,0.0,612.094
04/01/2006,AGMP1 ,0.0,634.2,0.0,608.719
05/01/2006,AGMP1 ,0.0,634.2,0.0,604.954
06/01/2006,AGMP1 ,0.0,634.2,0.0,596.979
07/01/2006,AGMP1 ,0.0,634.2,0.0,606.963
08/01/2006,AGMP1 ,0.0,634.2,0.0,607.146
09/01/2006,AGMP1 ,0.0,634.2,0.0,606.408
10/01/2006,AGMP1 ,0.0,634.2,0.0,603.557
11/01/2006,AGMP1 ,0.0,634.2,0.0,578.806
12/01/2006,AGMP1 ,0.0,634.2,0.0,634.2
13/01/2006,AGMP1 ,0.0,634.2,0.0,578.371
