Día,Capacidad promedio realizada MW,Central,Capacidad promedio prevista MW
01/01/2006,154.702,MDAP1 ,156.1
02/01/2006,156.1,MDAP1 ,156.1
03/01/2006,153.863,MDAP1 ,156.1
04/01/2006,156.459,MDAP1 ,156.1
05/01/2006,154.89600000000004,MDAP1 ,156.1
06/01/2006,156.14600000000004,MDAP1 ,156.1
07/01/2006,153.401,MDAP1 ,152.933
08/01/2006,150.093,MDAP1 ,149.75
09/01/2006,156.631,MDAP1 ,156.1
10/01/2006,152.579,MDAP1 ,156.1
11/01/2006,156.1,MDAP1 ,156.1
12/01/2006,145.87,MDAP1 ,156.1
13/01/2006,149.388,MDAP1 ,149.75
14/01/2006,148.26,MDAP1 ,152.933
15/01/2006,142.941,MDAP1 ,156.1
16/01/2006,149.437,MDAP1 ,155.308
17/01/2006,143.562,MDAP1 ,156.1
18/01/2006,156.1,MDAP1 ,156.1
19/01/2006,151.101,MDAP1 ,156.1
20/01/2006,154.885,MDAP1 ,156.1
21/01/2006,156.1,MDAP1 ,156.1
22/01/2006,75.075,MDAP1 ,79.9
23/01/2006,79.9,MDAP1 ,79.9
24/01/2006,75.554,MDAP1 ,79.9
25/01/2006,78.51,MDAP1 ,79.9
26/01/2006,40.983,MDAP1 ,79.9
27/01/2006,0.0,MDAP1 ,0.0
28/01/2006,0.0,MDAP1 ,0.0
29/01/2006,46.79,MDAP1 ,79.9
30/01/2006,79.9,MDAP1 ,79.9
31/01/2006,79.9,MDAP1 ,79.9
