Día,Capacidad promedio realizada MW,Central,Capacidad promedio prevista MW
01/01/2006,29.5,NCTP1 ,29.5
02/01/2006,29.5,NCTP1 ,29.5
03/01/2006,29.5,NCTP1 ,29.5
04/01/2006,29.5,NCTP1 ,29.5
05/01/2006,29.5,NCTP1 ,29.5
06/01/2006,29.5,NCTP1 ,29.5
07/01/2006,29.5,NCTP1 ,29.5
08/01/2006,29.5,NCTP1 ,29.5
09/01/2006,29.5,NCTP1 ,29.5
10/01/2006,29.5,NCTP1 ,29.5
11/01/2006,29.5,NCTP1 ,29.5
12/01/2006,29.5,NCTP1 ,29.5
13/01/2006,29.5,NCTP1 ,29.5
14/01/2006,29.5,NCTP1 ,29.5
15/01/2006,29.5,NCTP1 ,29.5
16/01/2006,29.5,NCTP1 ,29.5
17/01/2006,29.5,NCTP1 ,29.5
18/01/2006,29.5,NCTP1 ,29.5
19/01/2006,29.5,NCTP1 ,29.5
20/01/2006,29.5,NCTP1 ,29.5
21/01/2006,29.5,NCTP1 ,29.5
22/01/2006,29.5,NCTP1 ,29.5
23/01/2006,29.5,NCTP1 ,29.5
24/01/2006,29.5,NCTP1 ,29.5
25/01/2006,29.5,NCTP1 ,29.5
26/01/2006,29.5,NCTP1 ,29.5
27/01/2006,29.5,NCTP1 ,29.5
28/01/2006,29.5,NCTP1 ,29.5
29/01/2006,29.5,NCTP1 ,29.5
30/01/2006,29.5,NCTP1 ,29.5
31/01/2006,29.5,NCTP1 ,29.5
