Día,Capacidad promedio realizada MW,Central,Capacidad promedio prevista MW
01/01/2006,101.733,VADP1 ,101.0
02/01/2006,103.584,VADP1 ,101.0
03/01/2006,101.858,VADP1 ,101.0
04/01/2006,103.348,VADP1 ,101.0
05/01/2006,100.964,VADP1 ,101.0
06/01/2006,76.75,VADP1 ,101.0
07/01/2006,101.0,VADP1 ,101.0
08/01/2006,101.0,VADP1 ,101.0
09/01/2006,112.262,VADP1 ,176.825
10/01/2006,217.857,VADP1 ,202.1
11/01/2006,209.788,VADP1 ,202.1
12/01/2006,179.696,VADP1 ,202.1
13/01/2006,215.301,VADP1 ,202.1
14/01/2006,153.711,VADP1 ,202.1
15/01/2006,197.678,VADP1 ,202.1
16/01/2006,180.318,VADP1 ,101.0
17/01/2006,216.04,VADP1 ,202.1
18/01/2006,140.583,VADP1 ,202.1
19/01/2006,210.522,VADP1 ,202.1
20/01/2006,216.694,VADP1 ,202.1
21/01/2006,182.238,VADP1 ,202.1
22/01/2006,144.928,VADP1 ,202.1
23/01/2006,186.871,VADP1 ,202.1
24/01/2006,115.633,VADP1 ,202.1
25/01/2006,95.656,VADP1 ,101.0
26/01/2006,111.634,VADP1 ,101.0
27/01/2006,104.379,VADP1 ,134.7
28/01/2006,114.665,VADP1 ,134.7
29/01/2006,117.515,VADP1 ,134.7
30/01/2006,115.312,VADP1 ,134.7
31/01/2006,102.155,VADP1 ,134.7
