Dia,Temperatura,MDTP1Prevista,MDPP1Prevista,MDAP1Prevista,VADP1Prevista,NCTP1Prevista,NCMP1Prevista,VLTP1Prevista,MDAP1,MDPP1,VLTP1,NCTP1,NCMP1,MDTP1,VADP1,Capacidad promedio realizada MW,Capacidad promedio prevista MW
2006-01-01,21.46198141177916,0.0,484.0,156.1,101.0,29.5,43.6,0.0,154.702,468.35400000000004,0.0,29.5,33.888000000000005,0.0,101.73299999999999,788.177,814.2
2006-01-02,19.96552231158397,0.0,484.0,156.1,101.0,29.5,43.6,0.0,156.1,431.01300000000003,0.0,29.5,35.061,0.0,103.584,755.258,814.2
2006-01-03,20.82868920381015,0.0,484.0,156.1,101.0,29.5,43.6,0.0,153.863,484.051,0.0,29.5,34.363,0.0,101.85799999999999,803.635,814.2
2006-01-04,29.05438930449277,0.0,484.0,156.1,101.0,29.5,43.6,0.0,156.459,480.83099999999996,0.0,29.5,34.056999999999995,0.0,103.348,804.1949999999999,814.2
2006-01-05,27.578885948929127,0.0,484.0,156.1,101.0,29.5,43.6,0.0,154.89600000000004,466.515,0.0,29.5,33.604,0.0,100.964,785.479,814.2
2006-01-06,26.07079819075859,0.0,484.0,156.1,101.0,29.5,43.6,0.0,156.14600000000004,464.648,0.0,29.5,34.141,0.0,76.75,761.1850000000001,814.2
2006-01-07,21.869065013029093,0.0,398.25,152.933,101.0,29.5,43.6,0.0,153.401,398.005,0.0,29.5,33.861,0.0,101.0,715.7669999999999,725.283
2006-01-08,20.84275060602241,0.0,398.25,149.75,101.0,29.5,43.6,0.0,150.093,471.50300000000004,0.0,29.5,37.508,0.0,101.0,789.604,722.1
2006-01-09,21.775756925305142,0.0,242.0,156.1,176.825,29.5,43.6,0.0,156.631,248.875,0.0,29.5,34.176,0.0,112.262,581.444,648.025
2006-01-10,20.375599153125115,0.0,242.0,156.1,202.1,29.5,43.6,0.0,152.579,180.045,0.0,29.5,33.723,0.0,217.857,613.7040000000001,673.3
2006-01-11,21.06084210825239,0.0,242.0,156.1,202.1,29.5,43.6,0.0,156.1,247.12599999999998,0.0,29.5,21.8,0.0,209.78799999999998,664.314,673.3
2006-01-12,24.714656617822985,0.0,242.0,156.1,202.1,29.5,43.6,0.0,145.87,246.732,0.0,29.5,21.8,0.0,179.696,623.598,673.3
2006-01-13,24.167544452432853,0.0,484.0,149.75,202.1,29.5,43.6,0.0,149.388,329.848,0.0,29.5,43.6,0.0,215.301,767.637,908.95
2006-01-14,18.109041612930653,0.0,445.167,152.933,202.1,29.5,43.6,0.0,148.26,445.167,0.0,29.5,43.6,0.0,153.711,820.2379999999999,873.3
2006-01-15,20.12888493263298,0.0,460.0,156.1,202.1,29.5,43.6,0.0,142.941,431.962,0.0,29.5,43.6,0.0,197.678,845.681,891.3
2006-01-16,28.37838496122253,0.0,447.833,155.308,101.0,29.5,43.6,0.0,149.437,398.24699999999996,0.0,29.5,43.6,0.0,180.31799999999998,801.102,777.241
2006-01-17,24.24939672178256,0.0,450.667,156.1,202.1,29.5,43.6,0.0,143.562,319.972,0.0,29.5,21.8,0.0,216.04,730.8739999999999,881.9669999999999
2006-01-18,17.890033104124544,0.0,451.5,156.1,202.1,29.5,43.6,0.0,156.1,249.928,0.0,29.5,21.8,0.0,140.583,597.9110000000001,882.8
2006-01-19,24.074624099123287,0.0,484.0,156.1,202.1,29.5,43.6,0.0,151.101,415.16,0.0,29.5,21.8,0.0,210.52200000000002,828.083,915.3
2006-01-20,21.246556091555973,0.0,484.0,156.1,202.1,29.5,43.6,0.0,154.885,473.523,0.0,29.5,21.8,0.0,216.69400000000002,896.402,915.3
2006-01-21,23.74993442468821,0.0,484.0,156.1,202.1,29.5,43.6,0.0,156.1,444.144,0.0,29.5,21.8,0.0,182.238,833.7819999999999,915.3
2006-01-22,22.696423576085625,0.0,484.0,79.9,202.1,29.5,43.6,0.0,75.075,484.0,0.0,29.5,21.8,0.0,144.928,755.303,839.1
2006-01-23,26.98607869331799,0.0,484.0,79.9,202.1,29.5,43.6,0.0,79.9,370.846,0.0,29.5,21.8,0.0,186.87099999999998,688.9169999999999,839.1
2006-01-24,22.635150962657995,0.0,484.0,79.9,202.1,29.5,43.6,0.0,75.554,469.031,0.0,29.5,43.6,0.0,115.633,733.3180000000001,839.1
2006-01-25,20.05167653430384,0.0,484.0,79.9,101.0,29.5,43.6,0.0,78.51,340.00699999999995,0.0,29.5,43.6,0.0,95.656,587.2729999999999,738.0
2006-01-26,20.63024550544236,0.0,484.0,79.9,101.0,29.5,43.6,0.0,40.983000000000004,414.024,0.0,29.5,43.6,0.0,111.634,639.741,738.0
2006-01-27,17.435513051920694,0.0,484.0,0.0,134.7,29.5,43.6,0.0,0.0,402.713,0.0,29.5,37.293,0.0,104.37899999999999,573.885,691.8
2006-01-28,25.924889087844363,0.0,484.0,0.0,134.7,29.5,43.6,0.0,0.0,424.736,0.0,29.5,41.721000000000004,0.0,114.665,610.622,691.8
2006-01-29,28.66408004641901,0.0,484.0,79.9,134.7,29.5,43.6,0.0,46.79,335.835,0.0,29.5,41.69300000000001,0.0,117.515,571.333,771.7
2006-01-30,29.286827225111338,0.0,484.0,79.9,134.7,29.5,43.6,0.0,79.9,484.0,0.0,29.5,43.229,0.0,115.31200000000001,751.941,771.7
2006-01-31,21.90643198065685,0.0,484.0,79.9,134.7,29.5,43.6,0.0,79.9,484.014,0.0,29.5,41.545,0.0,102.155,737.1139999999999,771.7
2006-02-01,25.28882123485845,0.0,484.0,79.9,134.7,29.5,21.8,0.0,79.9,484.0,0.0,29.5,35.676,0.0,135.005,764.081,749.9
2006-02-02,25.526685557381658,0.0,484.0,79.9,101.0,29.5,43.6,0.0,77.679,473.76300000000003,0.0,29.5,43.6,0.0,101.681,726.2230000000001,738.0
2006-02-03,25.13795651968925,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.527,484.0,0.0,29.5,43.6,0.0,101.566,738.1930000000001,738.0
2006-02-04,18.860146531650415,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.9,484.0,0.0,29.5,43.6,0.0,98.03299999999999,735.033,738.0
2006-02-05,18.558220587045398,0.0,484.0,79.9,101.0,29.5,43.6,0.0,69.368,438.65,0.0,29.5,43.6,0.0,95.945,677.0630000000001,738.0
2006-02-06,19.949901861682786,0.0,484.0,79.9,101.0,29.5,21.8,0.0,79.9,404.665,0.0,29.5,35.424,0.0,101.0,650.489,716.2
2006-02-07,29.418828865158034,0.0,484.0,79.9,101.0,29.5,21.8,0.0,79.9,415.287,0.0,29.5,35.525,0.0,101.285,661.497,716.2
2006-02-08,19.705135842634558,0.0,484.0,79.9,101.0,29.5,21.8,0.0,75.877,375.835,0.0,29.5,35.542,0.0,102.006,618.76,716.2
2006-02-09,22.82836654685017,0.0,350.0,79.9,151.55,29.5,43.6,0.0,79.9,307.83299999999997,0.0,29.5,43.6,0.0,133.311,594.144,654.55
2006-02-10,27.619630898908373,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.9,237.697,0.0,29.5,43.6,0.0,177.83,568.527,738.0
2006-02-11,21.04678457656323,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.9,360.36800000000005,0.0,29.5,43.6,0.0,138.69299999999998,652.061,738.0
2006-02-12,22.1766027574925,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.9,449.92400000000004,0.0,29.5,43.6,0.0,106.213,709.1370000000001,738.0
2006-02-13,18.957367270118468,0.0,484.0,79.9,101.0,29.5,21.8,0.0,75.786,480.365,0.0,29.5,35.475,0.0,106.67399999999999,727.8000000000001,716.2
2006-02-14,20.51952707803032,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.9,476.096,0.0,29.5,43.6,0.0,80.749,709.845,738.0
2006-02-15,27.33975840496931,0.0,484.0,79.9,101.0,29.5,43.6,0.0,79.9,460.048,0.0,29.5,43.6,0.0,97.208,710.256,738.0
2006-02-16,25.00249834204932,0.0,484.0,79.9,101.0,29.5,43.6,0.0,70.931,482.97,0.0,29.5,43.6,0.0,72.824,699.825,738.0
2006-02-17,19.44274411834504,0.0,484.0,79.9,98.208,29.5,43.6,0.0,75.263,466.343,0.0,29.5,43.6,0.0,79.618,694.3240000000001,735.208
2006-02-18,21.670900133837836,0.0,484.0,79.9,101.0,29.5,43.6,0.0,77.814,459.024,0.0,29.5,43.6,0.0,99.29299999999999,709.231,738.0
2006-02-19,28.870147432036987,0.0,484.0,79.9,101.0,29.5,43.6,0.0,78.618,470.735,0.0,29.5,43.6,0.0,101.0,723.4530000000001,738.0
2006-02-20,23.480526216519962,0.0,484.0,79.9,101.0,29.5,43.6,0.0,73.602,466.914,0.0,29.5,43.6,0.0,86.135,699.751,738.0
2006-02-21,23.699203485752605,0.0,484.0,79.9,101.0,29.5,43.6,0.0,77.233,460.894,0.0,29.5,43.6,0.0,102.53200000000001,713.759,738.0
2006-02-22,19.718978180909254,0.0,484.0,79.9,101.0,29.5,43.6,0.0,78.60600000000002,456.064,0.0,29.5,43.6,0.0,107.115,714.8850000000001,738.0
